DATE,DGS30
2021-01-04,1.66
2021-01-05,1.7
2021-01-06,1.81
2021-01-07,1.85
2021-01-08,1.87
2021-01-11,1.88
2021-01-12,1.88
2021-01-13,1.82
2021-01-14,1.88
2021-01-15,1.85
2021-01-18,.
2021-01-19,1.84
2021-01-20,1.84
2021-01-21,1.87
2021-01-22,1.85
2021-01-25,1.8
2021-01-26,1.8
2021-01-27,1.79
2021-01-28,1.81
2021-01-29,1.87
2021-02-01,1.84
2021-02-02,1.87
2021-02-03,1.92
2021-02-04,1.93
2021-02-05,1.97
2021-02-08,1.96
2021-02-09,1.95
2021-02-10,1.92
2021-02-11,1.94
2021-02-12,2.01
2021-02-15,.
2021-02-16,2.08
2021-02-17,2.06
2021-02-18,2.08
2021-02-19,2.14
2021-02-22,2.19
2021-02-23,2.21
2021-02-24,2.24
2021-02-25,2.33
2021-02-26,2.17
2021-03-01,2.23
2021-03-02,2.21
2021-03-03,2.25
2021-03-04,2.3
2021-03-05,2.28
2021-03-08,2.31
2021-03-09,2.26
2021-03-10,2.24
2021-03-11,2.29
2021-03-12,2.4
2021-03-15,2.37
2021-03-16,2.38
2021-03-17,2.42
2021-03-18,2.45
2021-03-19,2.45
2021-03-22,2.38
2021-03-23,2.34
2021-03-24,2.31
2021-03-25,2.34
2021-03-26,2.37
2021-03-29,2.43
2021-03-30,2.38
2021-03-31,2.41
2021-04-01,2.34
2021-04-02,2.35
2021-04-05,2.36
2021-04-06,2.32
2021-04-07,2.35
2021-04-08,2.32
2021-04-09,2.34
2021-04-12,2.34
2021-04-13,2.32
2021-04-14,2.32
2021-04-15,2.23
2021-04-16,2.26
2021-04-19,2.29
2021-04-20,2.27
2021-04-21,2.26
2021-04-22,2.24
2021-04-23,2.25
2021-04-26,2.24
2021-04-27,2.29
2021-04-28,2.29
2021-04-29,2.31
2021-04-30,2.3
2021-05-03,2.3
2021-05-04,2.27
2021-05-05,2.25
2021-05-06,2.24
2021-05-07,2.28
2021-05-10,2.32
2021-05-11,2.35
2021-05-12,2.4
2021-05-13,2.39
2021-05-14,2.35
2021-05-17,2.36
2021-05-18,2.37
2021-05-19,2.38
2021-05-20,2.34
2021-05-21,2.33
2021-05-24,2.31
2021-05-25,2.26
2021-05-26,2.27
2021-05-27,2.29
2021-05-28,2.26
2021-05-31,.
2021-06-01,2.3
2021-06-02,2.28
2021-06-03,2.3
2021-06-04,2.24
2021-06-07,2.25
2021-06-08,2.21
2021-06-09,2.17
2021-06-10,2.15
2021-06-11,2.15
2021-06-14,2.19
2021-06-15,2.2
2021-06-16,2.2
2021-06-17,2.11
2021-06-18,2.01
2021-06-21,2.11
2021-06-22,2.1
2021-06-23,2.11
2021-06-24,2.1
2021-06-25,2.16
2021-06-28,2.1
2021-06-29,2.1
2021-06-30,2.06
2021-07-01,2.07
2021-07-02,2.05
2021-07-05,.
2021-07-06,2
2021-07-07,1.94
2021-07-08,1.91
2021-07-09,1.99
2021-07-12,2
2021-07-13,2.04
2021-07-14,1.98
2021-07-15,1.92
2021-07-16,1.93
2021-07-19,1.81
2021-07-20,1.88
2021-07-21,1.94
2021-07-22,1.9
2021-07-23,1.92
2021-07-26,1.93
2021-07-27,1.89
2021-07-28,1.9
2021-07-29,1.91
2021-07-30,1.89
2021-08-02,1.86
2021-08-03,1.85
2021-08-04,1.83
2021-08-05,1.86
2021-08-06,1.94
2021-08-09,1.96
2021-08-10,1.99
2021-08-11,1.99
2021-08-12,2.03
2021-08-13,1.94
2021-08-16,1.92
2021-08-17,1.92
2021-08-18,1.91
2021-08-19,1.88
2021-08-20,1.87
2021-08-23,1.87
2021-08-24,1.91
2021-08-25,1.96
2021-08-26,1.94
2021-08-27,1.91
2021-08-30,1.9
2021-08-31,1.92
2021-09-01,1.92
2021-09-02,1.9
2021-09-03,1.94
2021-09-06,.
2021-09-07,1.99
2021-09-08,1.95
2021-09-09,1.9
2021-09-10,1.94
2021-09-13,1.91
2021-09-14,1.85
2021-09-15,1.87
2021-09-16,1.88
2021-09-17,1.91
2021-09-20,1.85
2021-09-21,1.86
2021-09-22,1.84
2021-09-23,1.92
2021-09-24,1.99
2021-09-27,1.99
2021-09-28,2.07
2021-09-29,2.09
2021-09-30,2.08
2021-10-01,2.04
2021-10-04,2.05
2021-10-05,2.1
2021-10-06,2.08
2021-10-07,2.13
2021-10-08,2.16
2021-10-11,.
2021-10-12,2.1
2021-10-13,2.05
2021-10-14,2.02
2021-10-15,2.05
2021-10-18,2.01
2021-10-19,2.09
2021-10-20,2.12
2021-10-21,2.13
2021-10-22,2.08
2021-10-25,2.09
2021-10-26,2.05
2021-10-27,1.95
2021-10-28,1.96
2021-10-29,1.93
2021-11-01,1.98
2021-11-02,1.96
2021-11-03,2
2021-11-04,1.96
2021-11-05,1.87
2021-11-08,1.89
2021-11-09,1.83
2021-11-10,1.92
2021-11-11,.
2021-11-12,1.95
2021-11-15,2.01
2021-11-16,2.02
2021-11-17,2
2021-11-18,1.97
2021-11-19,1.91
2021-11-22,1.98
2021-11-23,2.02
2021-11-24,1.96
2021-11-25,.
2021-11-26,1.83
2021-11-29,1.87
2021-11-30,1.78
2021-12-01,1.77
2021-12-02,1.76
2021-12-03,1.69
2021-12-06,1.75
2021-12-07,1.8
2021-12-08,1.87
2021-12-09,1.87
2021-12-10,1.88
2021-12-13,1.81
2021-12-14,1.82
2021-12-15,1.86
2021-12-16,1.87
2021-12-17,1.82
2021-12-20,1.85
2021-12-21,1.89
2021-12-22,1.86
2021-12-23,1.91
2021-12-24,.
2021-12-27,1.88
2021-12-28,1.9
2021-12-29,1.96
2021-12-30,1.93
2021-12-31,1.9
2022-01-03,2.01
2022-01-04,2.07
2022-01-05,2.09
2022-01-06,2.09
2022-01-07,2.11
2022-01-10,2.11
2022-01-11,2.08
2022-01-12,2.08
2022-01-13,2.05
2022-01-14,2.12
2022-01-17,.
2022-01-18,2.18
2022-01-19,2.14
2022-01-20,2.14
2022-01-21,2.07
2022-01-24,2.1
2022-01-25,2.12
2022-01-26,2.16
2022-01-27,2.09
2022-01-28,2.07
2022-01-31,2.11
2022-02-01,2.12
2022-02-02,2.11
2022-02-03,2.14
2022-02-04,2.23
2022-02-07,2.22
2022-02-08,2.25
2022-02-09,2.25
2022-02-10,2.3
2022-02-11,2.24
2022-02-14,2.29
2022-02-15,2.37
2022-02-16,2.34
2022-02-17,2.31
2022-02-18,2.24
2022-02-21,.
2022-02-22,2.24
2022-02-23,2.29
2022-02-24,2.28
2022-02-25,2.29
2022-02-28,2.17
2022-03-01,2.11
2022-03-02,2.24
2022-03-03,2.24
2022-03-04,2.16
2022-03-07,2.19
2022-03-08,2.24
2022-03-09,2.29
2022-03-10,2.38
2022-03-11,2.36
2022-03-14,2.47
2022-03-15,2.49
2022-03-16,2.46
2022-03-17,2.5
2022-03-18,2.42
2022-03-21,2.55
2022-03-22,2.6
2022-03-23,2.52
2022-03-24,2.51
2022-03-25,2.6
2022-03-28,2.57
2022-03-29,2.53
2022-03-30,2.48
2022-03-31,2.44
2022-04-01,2.44
2022-04-04,2.48
2022-04-05,2.57
2022-04-06,2.63
2022-04-07,2.69
2022-04-08,2.76
2022-04-11,2.84
2022-04-12,2.82
2022-04-13,2.81
2022-04-14,2.92
2022-04-15,.
2022-04-18,2.95
2022-04-19,3.01
2022-04-20,2.9
2022-04-21,2.94
2022-04-22,2.95
2022-04-25,2.88
2022-04-26,2.86
2022-04-27,2.91
2022-04-28,2.92
2022-04-29,2.96
2022-05-02,3.07
2022-05-03,3.03
2022-05-04,3.01
2022-05-05,3.15
2022-05-06,3.23
2022-05-09,3.19
2022-05-10,3.12
2022-05-11,3.05
2022-05-12,3
2022-05-13,3.1
2022-05-16,3.09
2022-05-17,3.17
2022-05-18,3.07
2022-05-19,3.05
2022-05-20,2.99
2022-05-23,3.08
2022-05-24,2.98
2022-05-25,2.97
2022-05-26,2.99
2022-05-27,2.97
2022-05-30,.
2022-05-31,3.07
2022-06-01,3.09
2022-06-02,3.09
2022-06-03,3.11
2022-06-06,3.19
2022-06-07,3.13
2022-06-08,3.18
2022-06-09,3.18
2022-06-10,3.2
2022-06-13,3.42
2022-06-14,3.45
2022-06-15,3.39
2022-06-16,3.35
2022-06-17,3.3
2022-06-20,.
2022-06-21,3.39
2022-06-22,3.25
2022-06-23,3.21
2022-06-24,3.26
2022-06-27,3.31
2022-06-28,3.3
2022-06-29,3.22
2022-06-30,3.14
2022-07-01,3.11
2022-07-04,.
2022-07-05,3.05
2022-07-06,3.14
2022-07-07,3.2
2022-07-08,3.27
2022-07-11,3.18
2022-07-12,3.13
2022-07-13,3.08
2022-07-14,3.11
2022-07-15,3.1
2022-07-18,3.14
2022-07-19,3.17
2022-07-20,3.17
2022-07-21,3.08
2022-07-22,3
2022-07-25,3.04
2022-07-26,3.03
2022-07-27,3.03
2022-07-28,3.02
2022-07-29,3
2022-08-01,2.92
2022-08-02,3
2022-08-03,2.96
2022-08-04,2.97
2022-08-05,3.06
2022-08-08,3
2022-08-09,3.01
2022-08-10,3.04
2022-08-11,3.15
2022-08-12,3.12
2022-08-15,3.1
2022-08-16,3.11
2022-08-17,3.15
2022-08-18,3.14
2022-08-19,3.22
2022-08-22,3.24
2022-08-23,3.26
2022-08-24,3.32
2022-08-25,3.25
2022-08-26,3.21
2022-08-29,3.25
2022-08-30,3.23
2022-08-31,3.27
2022-09-01,3.37
2022-09-02,3.35
2022-09-05,.
2022-09-06,3.49
2022-09-07,3.42
2022-09-08,3.45
2022-09-09,3.47
2022-09-12,3.53
2022-09-13,3.51
2022-09-14,3.47
2022-09-15,3.48
2022-09-16,3.52
2022-09-19,3.52
2022-09-20,3.59
2022-09-21,3.5
2022-09-22,3.65
2022-09-23,3.61
2022-09-26,3.72
2022-09-27,3.87
2022-09-28,3.7
2022-09-29,3.71
2022-09-30,3.79
2022-10-03,3.73
2022-10-04,3.7
2022-10-05,3.78
2022-10-06,3.81
2022-10-07,3.86
2022-10-10,.
2022-10-11,3.92
2022-10-12,3.9
2022-10-13,3.97
2022-10-14,3.99
2022-10-17,4.04
2022-10-18,4.04
2022-10-19,4.15
2022-10-20,4.24
2022-10-21,4.33
2022-10-24,4.4
2022-10-25,4.26
2022-10-26,4.19
2022-10-27,4.12
2022-10-28,4.15
2022-10-31,4.22
2022-11-01,4.14
2022-11-02,4.15
2022-11-03,4.18
2022-11-04,4.27
2022-11-07,4.34
2022-11-08,4.28
2022-11-09,4.31
2022-11-10,4.03
2022-11-11,.
2022-11-14,4.07
2022-11-15,3.98
2022-11-16,3.85
2022-11-17,3.89
2022-11-18,3.92
2022-11-21,3.91
2022-11-22,3.83
2022-11-23,3.74
2022-11-24,.
2022-11-25,3.74
2022-11-28,3.74
2022-11-29,3.81
2022-11-30,3.8
2022-12-01,3.64
2022-12-02,3.56
2022-12-05,3.62
2022-12-06,3.52
2022-12-07,3.42
2022-12-08,3.44
2022-12-09,3.56
2022-12-12,3.57
2022-12-13,3.53
2022-12-14,3.52
2022-12-15,3.48
2022-12-16,3.53
2022-12-19,3.62
2022-12-20,3.74
2022-12-21,3.74
2022-12-22,3.73
2022-12-23,3.82
2022-12-26,.
2022-12-27,3.93
2022-12-28,3.98
2022-12-29,3.92
2022-12-30,3.97
2023-01-02,.
2023-01-03,3.88
2023-01-04,3.81
2023-01-05,3.78
2023-01-06,3.67
2023-01-09,3.66
2023-01-10,3.74
2023-01-11,3.67
2023-01-12,3.56
2023-01-13,3.61
2023-01-16,.
2023-01-17,3.64
2023-01-18,3.54
2023-01-19,3.57
2023-01-20,3.66
2023-01-23,3.69
2023-01-24,3.62
2023-01-25,3.62
2023-01-26,3.62
2023-01-27,3.64
2023-01-30,3.66
2023-01-31,3.65
2023-02-01,3.55
2023-02-02,3.55
2023-02-03,3.63
2023-02-06,3.67
2023-02-07,3.72
2023-02-08,3.7
2023-02-09,3.75
2023-02-10,3.83
2023-02-13,3.79
2023-02-14,3.81
2023-02-15,3.85
2023-02-16,3.92
2023-02-17,3.88
2023-02-20,.
2023-02-21,3.98
2023-02-22,3.94
2023-02-23,3.88
2023-02-24,3.93
2023-02-27,3.93
2023-02-28,3.93
2023-03-01,3.97
2023-03-02,4.03
2023-03-03,3.9
2023-03-06,3.92
2023-03-07,3.88
2023-03-08,3.88
2023-03-09,3.88
2023-03-10,3.7
2023-03-13,3.7
2023-03-14,3.77
2023-03-15,3.7
2023-03-16,3.71
2023-03-17,3.6
2023-03-20,3.65
2023-03-21,3.73
2023-03-22,3.68
2023-03-23,3.66
2023-03-24,3.64
2023-03-27,3.77
2023-03-28,3.77
2023-03-29,3.78
2023-03-30,3.74
2023-03-31,3.67
2023-04-03,3.64
2023-04-04,3.6
2023-04-05,3.56
2023-04-06,3.54
2023-04-07,3.61
2023-04-10,3.62
2023-04-11,3.62
2023-04-12,3.64
2023-04-13,3.69
2023-04-14,3.74
2023-04-17,3.81
2023-04-18,3.79
2023-04-19,3.79
2023-04-20,3.75
2023-04-21,3.78
2023-04-24,3.73
2023-04-25,3.65
2023-04-26,3.7
2023-04-27,3.76
2023-04-28,3.67
2023-05-01,3.84
2023-05-02,3.72
2023-05-03,3.7
2023-05-04,3.73
2023-05-05,3.76
2023-05-08,3.84
2023-05-09,3.85
2023-05-10,3.8
2023-05-11,3.73
2023-05-12,3.78
2023-05-15,3.84
2023-05-16,3.87
2023-05-17,3.88
2023-05-18,3.91
2023-05-19,3.95
2023-05-22,3.97
2023-05-23,3.96
2023-05-24,3.97
2023-05-25,4.01
2023-05-26,3.96
2023-05-29,.
2023-05-30,3.9
2023-05-31,3.85
2023-06-01,3.84
2023-06-02,3.88
2023-06-05,3.89
2023-06-06,3.87
2023-06-07,3.95
2023-06-08,3.89
2023-06-09,3.89
2023-06-12,3.87
2023-06-13,3.94
2023-06-14,3.9
2023-06-15,3.85
2023-06-16,3.86
2023-06-19,.
2023-06-20,3.83
2023-06-21,3.81
2023-06-22,3.88
2023-06-23,3.82
2023-06-26,3.83
2023-06-27,3.84
2023-06-28,3.81
2023-06-29,3.92
2023-06-30,3.85
2023-07-03,3.87
2023-07-04,.
2023-07-05,3.95
2023-07-06,4.01
2023-07-07,4.05
2023-07-10,4.05
2023-07-11,4.03
2023-07-12,3.96
2023-07-13,3.9
2023-07-14,3.93
2023-07-17,3.94
2023-07-18,3.91
2023-07-19,3.84
2023-07-20,3.91
2023-07-21,3.91
2023-07-24,3.92
2023-07-25,3.95
2023-07-26,3.94
2023-07-27,4.06
2023-07-28,4.03
2023-07-31,4.02
2023-08-01,4.11
2023-08-02,4.17
2023-08-03,4.32
2023-08-04,4.21
2023-08-07,4.27
2023-08-08,4.2
2023-08-09,4.18
2023-08-10,4.24
2023-08-11,4.27
2023-08-14,4.29
2023-08-15,4.32
2023-08-16,4.38
2023-08-17,4.41
2023-08-18,4.38
2023-08-21,4.45
2023-08-22,4.42
2023-08-23,4.27
2023-08-24,4.3
2023-08-25,4.3
2023-08-28,4.29
2023-08-29,4.23
2023-08-30,4.23
2023-08-31,4.2
2023-09-01,4.29
2023-09-04,.
2023-09-05,4.38
2023-09-06,4.37
2023-09-07,4.36
2023-09-08,4.33
2023-09-11,4.37
2023-09-12,4.35
2023-09-13,4.34
2023-09-14,4.39
2023-09-15,4.42
2023-09-18,4.4
2023-09-19,4.43
2023-09-20,4.4
2023-09-21,4.56
2023-09-22,4.53
2023-09-25,4.67
2023-09-26,4.7
2023-09-27,4.73
2023-09-28,4.71
2023-09-29,4.73
2023-10-02,4.81
2023-10-03,4.95
2023-10-04,4.87
2023-10-05,4.89
2023-10-06,4.95
2023-10-09,.
2023-10-10,4.85
2023-10-11,4.73
2023-10-12,4.86
2023-10-13,4.78
2023-10-16,4.87
2023-10-17,4.94
2023-10-18,5
2023-10-19,5.11
2023-10-20,5.09
2023-10-23,5.01
2023-10-24,4.96
2023-10-25,5.09
2023-10-26,5.01
2023-10-27,5.03
2023-10-30,5.04
2023-10-31,5.04
2023-11-01,4.96
2023-11-02,4.82
2023-11-03,4.77
2023-11-06,4.84
2023-11-07,4.75
2023-11-08,4.64
2023-11-09,4.77
2023-11-10,4.73
2023-11-13,4.75
2023-11-14,4.61
2023-11-15,4.68
2023-11-16,4.63
2023-11-17,4.59
2023-11-20,4.57
2023-11-21,4.57
2023-11-22,4.55
2023-11-23,.
2023-11-24,4.6
2023-11-27,4.53
2023-11-28,4.52
2023-11-29,4.44
2023-11-30,4.54
2023-12-01,4.4
2023-12-04,4.43
2023-12-05,4.3
2023-12-06,4.22
2023-12-07,4.25
2023-12-08,4.31
2023-12-11,4.32
2023-12-12,4.3
2023-12-13,4.19
2023-12-14,4.03
2023-12-15,4
2023-12-18,4.05
2023-12-19,4.03
2023-12-20,3.98
2023-12-21,4.03
2023-12-22,4.05
2023-12-25,.
2023-12-26,4.04
2023-12-27,3.95
2023-12-28,3.98
2023-12-29,4.03
2024-01-01,.
2024-01-02,4.08
2024-01-03,4.05
2024-01-04,4.13
2024-01-05,4.21
2024-01-08,4.17
2024-01-09,4.18
2024-01-10,4.2
2024-01-11,4.18
2024-01-12,4.2
2024-01-15,.
2024-01-16,4.3
2024-01-17,4.31
2024-01-18,4.37
2024-01-19,4.36
2024-01-22,4.32
2024-01-23,4.38
2024-01-24,4.41
2024-01-25,4.38
2024-01-26,4.38
2024-01-29,4.31
2024-01-30,4.28
2024-01-31,4.22
2024-02-01,4.1
2024-02-02,4.22
2024-02-05,4.35
2024-02-06,4.29
2024-02-07,4.31
2024-02-08,4.36
2024-02-09,4.37
2024-02-12,4.37
2024-02-13,4.46
2024-02-14,4.45
2024-02-15,4.42
2024-02-16,4.45
2024-02-19,.
2024-02-20,4.44
2024-02-21,4.49
2024-02-22,4.47
2024-02-23,4.37
2024-02-26,4.4
2024-02-27,4.44
2024-02-28,4.4
2024-02-29,4.38
2024-03-01,4.33
2024-03-04,4.36
2024-03-05,4.27
2024-03-06,4.24
2024-03-07,4.25
2024-03-08,4.26
2024-03-11,4.26
2024-03-12,4.31
2024-03-13,4.35
2024-03-14,4.44
2024-03-15,4.43
2024-03-18,4.46
2024-03-19,4.44
2024-03-20,4.45
2024-03-21,4.44
2024-03-22,4.39
2024-03-25,4.42
2024-03-26,4.4
2024-03-27,4.36
2024-03-28,4.34
2024-03-29,.
2024-04-01,4.47
2024-04-02,4.51
2024-04-03,4.51
2024-04-04,4.47
2024-04-05,4.54
2024-04-08,4.55
2024-04-09,4.5
2024-04-10,4.64
2024-04-11,4.65
2024-04-12,4.61
