,Close_^IXIC,Close_^VIX,BOGMBASE_BOGMBASE,CPIAUCSL_CPIAUCSL,Price_Crude Oil,DGS2_DGS2,DGS5_DGS5,DGS10_DGS10,DGS30_DGS30,Close_DJI,FEDFUNDS_FEDFUNDS,Price_Gold,Close*_GSPC - S&P 500,UNRATE_UNRATE,USSTHPI_USSTHPI,WM2NS_WM2NS,Close_ETH-USD,Close_BTC-USD
Close_^IXIC,1.0,-0.5809128460625934,0.7428782671971528,-0.15989683684134193,-0.2901220115911973,-0.3274289998992554,-0.3137761228948438,-0.27231423456314585,-0.23906037057051832,0.7890213073706133,-0.14400131476658523,0.39679107687556564,0.868943686073553,0.2839804575079063,-0.18302688384406568,-0.23968199701533638,0.765842775230753,0.8152167141063922
Close_^VIX,-0.5809128460625934,1.0,-0.20911350284996763,-0.26950934802561916,0.418047560651842,-0.20762461216962047,-0.18339488943289492,-0.24220168633155742,-0.29526578824248817,-0.7054813044585029,-0.4491001853706705,-0.5123279741581753,-0.6437231853454328,-0.04797478709312478,-0.22401492114236746,0.3471904112054949,-0.2295078419423839,-0.32409180805393006
BOGMBASE_BOGMBASE,0.7428782671971528,-0.20911350284996763,1.0,-0.43644463900163444,-0.10626411206648488,-0.6251854096996106,-0.5911339969810061,-0.5800934771426989,-0.5788214276121243,0.5295919014029798,-0.5273231187152424,-0.01666200656506463,0.5695051120373346,0.2784443617559645,-0.4104849770643085,0.07169638349029427,0.859036368337486,0.7198009518071636
CPIAUCSL_CPIAUCSL,-0.15989683684134193,-0.26950934802561916,-0.43644463900163444,1.0,0.3550274522438862,0.9640090896856536,0.9663894294038551,0.9507789557589444,0.9232118032910855,0.2804815569933776,0.9135851818492062,0.5877127009530793,0.2915546691572757,-0.8438105144489629,0.9833046092219485,0.3705034534282387,-0.25340011018010306,-0.3542052847504866
Price_Crude Oil,-0.2901220115911973,0.418047560651842,-0.10626411206648488,0.3550274522438862,1.0,0.2915785859802014,0.3431671462800402,0.2766764207075296,0.19849551303382165,-0.11232582546625733,0.0014799950144819354,0.03454941946504827,-0.02941857421887767,-0.611754472305317,0.43882874102582237,0.7466177041855157,-0.04192805462080512,-0.27277121154215833
DGS2_DGS2,-0.3274289998992554,-0.20762461216962047,-0.6251854096996106,0.9640090896856536,0.2915785859802014,1.0,0.9944115592686071,0.9829104700249437,0.9610839011632067,0.10243791170005996,0.9353093072240585,0.479818923495334,0.09639362817783075,-0.7751188676461719,0.9409090508939054,0.2714138083334438,-0.44865816480344317,-0.4901599972686746
DGS5_DGS5,-0.3137761228948438,-0.18339488943289492,-0.5911339969810061,0.9663894294038551,0.3431671462800402,0.9944115592686071,1.0,0.9909594393198059,0.9669966601441469,0.11195191916581876,0.9137770819205673,0.46839484562761824,0.11387022448356257,-0.7875601035322407,0.9478478593169174,0.30895011107256964,-0.4146862073121711,-0.46103295185196486
DGS10_DGS10,-0.27231423456314585,-0.24220168633155742,-0.5800934771426989,0.9507789557589444,0.2766764207075296,0.9829104700249437,0.9909594393198059,1.0,0.9913826950800726,0.14379939918893223,0.932224047055588,0.4989553668272301,0.1343929927701436,-0.7132124868054607,0.9201467254522042,0.2113638186776109,-0.41388633242032863,-0.4062393156682381
DGS30_DGS30,-0.23906037057051832,-0.29526578824248817,-0.5788214276121243,0.9232118032910855,0.19849551303382165,0.9610839011632067,0.9669966601441469,0.9913826950800726,1.0,0.15795854722654723,0.944487744763471,0.5217375768308145,0.13939297359747985,-0.6309157987481184,0.8804115950037736,0.10114414758902021,-0.42862755732296304,-0.3681642045214478
Close_DJI,0.7890213073706133,-0.7054813044585029,0.5295919014029798,0.2804815569933776,-0.11232582546625733,0.10243791170005996,0.11195191916581876,0.14379939918893223,0.15795854722654723,1.0,0.2557392264522748,0.6211023358109705,0.9499630193159667,-0.12189497788753233,0.24285757510467082,0.048759138815084896,0.6302281795991597,0.5923945651764045
FEDFUNDS_FEDFUNDS,-0.14400131476658523,-0.4491001853706705,-0.5273231187152424,0.9135851818492062,0.0014799950144819354,0.9353093072240585,0.9137770819205673,0.932224047055588,0.944487744763471,0.2557392264522748,1.0,0.5976761528180815,0.2204119522206757,-0.6061068452872862,0.8573022042309537,0.010361009506512637,-0.37595840690655025,-0.3380108780032614
Price_Gold,0.39679107687556564,-0.5123279741581753,-0.01666200656506463,0.5877127009530793,0.03454941946504827,0.479818923495334,0.46839484562761824,0.4989553668272301,0.5217375768308145,0.6211023358109705,0.5976761528180815,1.0,0.6417026292581905,-0.30550880122209073,0.5274271954127141,-0.07152885857749687,0.17485370660219338,0.2616891144250877
Close*_GSPC - S&P 500,0.868943686073553,-0.6437231853454328,0.5695051120373346,0.2915546691572757,-0.02941857421887767,0.09639362817783075,0.11387022448356257,0.1343929927701436,0.13939297359747985,0.9499630193159667,0.2204119522206757,0.6417026292581905,1.0,-0.16578041845602612,0.27116606135016413,0.0817631448655077,0.6899581460175082,0.6286844479425483
UNRATE_UNRATE,0.2839804575079063,-0.04797478709312478,0.2784443617559645,-0.8438105144489629,-0.611754472305317,-0.7751188676461719,-0.7875601035322407,-0.7132124868054607,-0.6309157987481184,-0.12189497788753233,-0.6061068452872862,-0.30550880122209073,-0.16578041845602612,1.0,-0.8878470688250296,-0.7634269928357297,0.09947378911235108,0.43082535079622
USSTHPI_USSTHPI,-0.18302688384406568,-0.22401492114236746,-0.4104849770643085,0.9833046092219485,0.43882874102582237,0.9409090508939054,0.9478478593169174,0.9201467254522042,0.8804115950037736,0.24285757510467082,0.8573022042309537,0.5274271954127141,0.27116606135016413,-0.8878470688250296,1.0,0.4588890099381595,-0.23534179431520286,-0.3936931921233182
WM2NS_WM2NS,-0.23968199701533638,0.3471904112054949,0.07169638349029427,0.3705034534282387,0.7466177041855157,0.2714138083334438,0.30895011107256964,0.2113638186776109,0.10114414758902021,0.048759138815084896,0.010361009506512637,-0.07152885857749687,0.0817631448655077,-0.7634269928357297,0.4588890099381595,1.0,0.16194042229368383,-0.2707039534152562
Close_ETH-USD,0.765842775230753,-0.2295078419423839,0.859036368337486,-0.25340011018010306,-0.04192805462080512,-0.44865816480344317,-0.4146862073121711,-0.41388633242032863,-0.42862755732296304,0.6302281795991597,-0.37595840690655025,0.17485370660219338,0.6899581460175082,0.09947378911235108,-0.23534179431520286,0.16194042229368383,1.0,0.8024418286289482
Close_BTC-USD,0.8152167141063922,-0.32409180805393006,0.7198009518071636,-0.3542052847504866,-0.27277121154215833,-0.4901599972686746,-0.46103295185196486,-0.4062393156682381,-0.3681642045214478,0.5923945651764045,-0.3380108780032614,0.2616891144250877,0.6286844479425483,0.43082535079622,-0.3936931921233182,-0.2707039534152562,0.8024418286289482,1.0
